gender,index_type,age_months,sd_n3,sd_n2,sd_n1,median,sd_p1,sd_p2,sd_p3
L,BB_U,0,2.1,2.5,2.9,3.3,3.9,4.4,5.0
L,BB_U,1,2.9,3.4,3.9,4.5,5.1,5.8,6.6
L,BB_U,2,3.8,4.3,4.9,5.6,6.3,7.1,8.0 
L,BB_U,3,4.4,5.0,5.7,6.4,7.2,8.0,9.0 
L,BB_U,4,4.9,5.6,6.2,7.0,7.8,8.7,9.7 
L,BB_U,5,5.3,6.0,6.7,7.5,8.4,9.3,10.4 
L,BB_U,6,5.7,6.4,7.1,7.9,8.8,9.8,10.9 
L,BB_U,7,5.9,6.7,7.4,8.3,9.2,10.3,11.4 
L,BB_U,8,6.2,6.9,7.7,8.6,9.6,10.7,11.9 
L,BB_U,9,6.4,7.1,8.0,8.9,9.9,11.0,12.3 
L,BB_U,10,6.6,7.4,8.2,9.2,10.2,11.4,12.7 
L,BB_U,11,6.8,7.6,8.4,9.4,10.5,11.7,13.0 
L,BB_U,12,6.9,7.7,8.6,9.6,10.8,12.0,13.3 
L,BB_U,13,7.1,7.9,8.8,9.9,11.0,12.3,13.7 
L,BB_U,14,7.2,8.1,9.0,10.1,11.3,12.6,14.0 
L,BB_U,15,7.4,8.3,9.2,10.3,11.5,12.8,14.3 
L,BB_U,16,7.5,8.4,9.4,10.5,11.7,13.1,14.6 
L,BB_U,17,7.7,8.6,9.6,10.7,12.0,13.4,14.9 
L,BB_U,18,7.8,8.8,9.8,10.9,12.2,13.7,15.3 
L,BB_U,19,8.0,8.9,10.0,11.1,12.5,13.9,15.6 
L,BB_U,20,8.1,9.1,10.1,11.3,12.7,14.2,15.9 
L,BB_U,21,8.2,9.2,10.3,11.5,12.9,14.5,16.2 
L,BB_U,22,8.4,9.4,10.5,11.8,13.2,14.7,16.5 
L,BB_U,23,8.5,9.5,10.7,12.0,13.4,15.0,16.8 
L,BB_U,24,8.6,9.7,10.8,12.2,13.6,15.3,17.1 
L,BB_U,25,8.8,9.8,11.0,12.4,13.9,15.5,17.5 
L,BB_U,26,8.9,10.0,11.2,12.5,14.1,15.8,17.8 
L,BB_U,27,9.0,10.1,11.3,12.7,14.3,16.1,18.1 
L,BB_U,28,9.1,10.2,11.5,12.9,14.5,16.3,18.4 
L,BB_U,29,9.2,10.4,11.7,13.1,14.8,16.6,18.7 
L,BB_U,30,9.4,10.5,11.8,13.3,15.0,16.9,19.0 
L,BB_U,31,9.5,10.7,12.0,13.5,15.2,17.1,19.3 
L,BB_U,32,9.6,10.8,12.1,13.7,15.4,17.4,19.6 
L,BB_U,33,9.7,10.9,12.3,13.8,15.6,17.6,19.9 
L,BB_U,34,9.8,11.0,12.4,14.0,15.8,17.8,20.2 
L,BB_U,35,9.9,11.2,12.6,14.2,16.0,18.1,20.4 
L,BB_U,36,10.0,11.3,12.7,14.3,16.2,18.3,20.7 
L,BB_U,37,10.1,11.4,12.9,14.5,16.4,18.6,21.0 
L,BB_U,38,10.2,11.5,13.0,14.7,16.6,18.8,21.3 
L,BB_U,39,10.3,11.6,13.1,14.8,16.8,19.0,21.6 
L,BB_U,40,10.4,11.8,13.3,15.0,17.0,19.3,21.9 
L,BB_U,41,10.5,11.9,13.4,15.2,17.2,19.5,22.1 
L,BB_U,42,10.6,12.0,13.6,15.3,17.4,19.7,22.4 
L,BB_U,43,10.7,12.1,13.7,15.5,17.6,20.0,22.7 
L,BB_U,44,10.8,12.2,13.8,15.7,17.8,20.2,23.0 
L,BB_U,45,10.9,12.4,14.0,15.8,18.0,20.5,23.3 
L,BB_U,46,11.0,12.5,14.1,16.0,18.2,20.7,23.6 
L,BB_U,47,11.1,12.6,14.3,16.2,18.4,20.9,23.9 
L,BB_U,48,11.2,12.7,14.4,16.3,18.6,21.2,24.2 
L,BB_U,49,11.3,12.8,14.5,16.5,18.8,21.4,24.5 
L,BB_U,50,11.4,12.9,14.7,16.7,19.0,21.7,24.8 
L,BB_U,51,11.5,13.1,14.8,16.8,19.2,21.9,25.1 
L,BB_U,52,11.6,13.2,15.0,17.0,19.4,22.2,25.4 
L,BB_U,53,11.7,13.3,15.1,17.2,19.6,22.4,25.7 
L,BB_U,54,11.8,13.4,15.2,17.3,19.8,22.7,26.0 
L,BB_U,55,11.9,13.5,15.4,17.5,20.0,22.9,26.3 
L,BB_U,56,12.0,13.6,15.5,17.7,20.2,23.2,26.6 
L,BB_U,57,12.1,13.7,15.6,17.8,20.4,23.4,26.9 
L,BB_U,58,12.2,13.8,15.8,18.0,20.6,23.7,27.2 
L,BB_U,59,12.3,14.0,15.9,18.2,20.8,23.9,27.6 
L,BB_U,60,12.4,14.1,16.0,18.3,21.0,24.2,27.9 

L,PB_U,0,44.2,46.1,48.0,49.9,51.8,53.7,55.6
L,PB_U,1,48.9,50.8,52.8,54.7,56.7,58.6,60.6 
L,PB_U,2,52.4,54.4,56.4,58.4,60.4,62.4,64.4 
L,PB_U,3,55.3,57.3,59.4,61.4,63.5,65.5,67.6 
L,PB_U,4,57.6,59.7,61.8,63.9,66.0,68.0,70.1 
L,PB_U,5,59.6,61.7,63.8,65.9,68.0,70.1,72.2 
L,PB_U,6,61.2,63.3,65.5,67.6,69.8,71.9,74.0 
L,PB_U,7,62.7,64.8,67.0,69.2,71.3,73.5,75.7 
L,PB_U,8,64.0,66.2,68.4,70.6,72.8,75.0,77.2 
L,PB_U,9,65.2,67.5,69.7,72.0,74.2,76.5,78.7 
L,PB_U,10,66.4,68.7,71.0,73.3,75.6,77.9,80.1 
L,PB_U,11,67.6,69.9,72.2,74.5,76.9,79.2,81.5 
L,PB_U,12,68.6,71.0,73.4,75.7,78.1,80.5,82.9 
L,PB_U,13,69.6,72.1,74.5,76.9,79.3,81.8,84.2 
L,PB_U,14,70.6,73.1,75.6,78.0,80.5,83.0,85.5 
L,PB_U,15,71.6,74.1,76.6,79.1,81.7,84.2,86.7 
L,PB_U,16,72.5,75.0,77.6,80.2,82.8,85.4,88.0 
L,PB_U,17,73.3,76.0,78.6,81.2,83.9,86.5,89.2 
L,PB_U,18,74.2,76.9,79.6,82.3,85.0,87.7,90.4 
L,PB_U,19,75.0,77.7,80.5,83.2,86.0,88.8,91.5 
L,PB_U,20,75.8,78.6,81.4,84.2,87.0,89.8,92.6 
L,PB_U,21,76.5,79.4,82.3,85.1,88.0,90.9,93.8 
L,PB_U,22,77.2,80.2,83.1,86.0,89.0,91.9,94.9 
L,PB_U,23,78.0,81.0,83.9,86.9,89.9,92.9,95.9 
L,PB_U,24,78.7,81.7,84.8,87.8,90.9,93.9,97.0

L,TB_U,24,78.0,81.0,84.1,87.1,90.2,93.2,96.3
L,TB_U,25,78.6,81.7,84.9,88.0,91.1,94.2,97.3 
L,TB_U,26,79.3,82.5,85.6,88.8,92.0,95.2,98.3 
L,TB_U,27,79.9,83.1,86.4,89.6,92.9,96.1,99.3 
L,TB_U,28,80.5,83.8,87.1,90.4,93.7,97.0,100.3 
L,TB_U,29,81.1,84.5,87.8,91.2,94.5,97.9,101.2 
L,TB_U,30,81.7,85.1,88.5,91.9,95.3,98.7,102.1 
L,TB_U,31,82.3,85.7,89.2,92.7,96.1,99.6,103.0 
L,TB_U,32,82.8,86.4,89.9,93.4,96.9,100.4,103.9 
L,TB_U,33,83.4,86.9,90.5,94.1,97.6,101.2,104.8 
L,TB_U,34,83.9,87.5,91.1,94.8,98.4,102.0,105.6 
L,TB_U,35,84.4,88.1,91.8,95.4,99.1,102.7,106.4 
L,TB_U,36,85.0,88.7,92.4,96.1,99.8,103.5,107.2 
L,TB_U,37,85.5,89.2,93.0,96.7,100.5,104.2,108.0 
L,TB_U,38,86.0,89.8,93.6,97.4,101.2,105.0,108.8 
L,TB_U,39,86.5,90.3,94.2,98.0,101.8,105.7,109.5 
L,TB_U,40,87.0,90.9,94.7,98.6,102.5,106.4,110.3 
L,TB_U,41,87.5,91.4,95.3,99.2,103.2,107.1,111.0 
L,TB_U,42,88.0,91.9,95.9,99.9,103.8,107.8,111.7 
L,TB_U,43,88.4,92.4,96.4,100.4,104.5,108.5,112.5 
L,TB_U,44,88.9,93.0,97.0,101.0,105.1,109.1,113.2 
L,TB_U,45,89.4,93.5,97.5,101.6,105.7,109.8,113.9 
L,TB_U,46,89.8,94.0,98.1,102.2,106.3,110.4,114.6 
L,TB_U,47,90.3,94.4,98.6,102.8,106.9,111.1,115.2 
L,TB_U,48,90.7,94.9,99.1,103.3,107.5,111.7,115.9 
L,TB_U,49,91.2,95.4,99.7,103.9,108.1,112.4,116.6 
L,TB_U,50,91.6,95.9,100.2,104.4,108.7,113.0,117.3 
L,TB_U,51,92.1,96.4,100.7,105.0,109.3,113.6,117.9 
L,TB_U,52,92.5,96.9,101.2,105.6,109.9,114.2,118.6 
L,TB_U,53,93.0,97.4,101.7,106.1,110.5,114.9,119.2 
L,TB_U,54,93.4,97.8,102.3,106.7,111.1,115.5,119.9 
L,TB_U,55,93.9,98.3,102.8,107.2,111.7,116.1,120.6 
L,TB_U,56,94.3,98.8,103.3,107.8,112.3,116.7,121.2 
L,TB_U,57,94.7,99.3,103.8,108.3,112.8,117.4,121.9 
L,TB_U,58,95.2,99.7,104.3,108.9,113.4,118.0,122.6 
L,TB_U,59,95.6,100.2,104.8,109.4,114.0,118.6,123.2 
L,TB_U,60,96.1,100.7,105.3,110.0,114.6,119.2,123.9 

L,IMT_U,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
L,IMT_U,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4 
L,IMT_U,2,12.5,13.7,15.0,16.3,17.8,19.4,21.1 
L,IMT_U,3,13.1,14.3,15.5,16.9,18.4,20.0,21.8 
L,IMT_U,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1 
L,IMT_U,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3 
L,IMT_U,6,13.6,14.7,16.0,17.3,18.8,20.5,22.3 
L,IMT_U,7,13.7,14.8,16.0,17.3,18.8,20.5,22.3 
L,IMT_U,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2 
L,IMT_U,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1 
L,IMT_U,10,13.5,14.6,15.7,17.0,18.5,20.1,22.0 
L,IMT_U,11,13.4,14.5,15.6,16.9,18.4,20.0,21.8 
L,IMT_U,12,13.4,14.4,15.5,16.8,18.2,19.8,21.6 
L,IMT_U,13,13.3,14.3,15.4,16.7,18.1,19.7,21.5 
L,IMT_U,14,13.2,14.2,15.3,16.6,18.0,19.5,21.3 
L,IMT_U,15,13.1,14.1,15.2,16.4,17.8,19.4,21.2 
L,IMT_U,16,13.1,14.0,15.1,16.3,17.7,19.3,21.0 
L,IMT_U,17,13.0,13.9,15.0,16.2,17.6,19.1,20.9 
L,IMT_U,18,12.9,13.9,14.9,16.1,17.5,19.0,20.8 
L,IMT_U,19,12.9,13.8,14.9,16.1,17.4,18.9,20.7 
L,IMT_U,20,12.8,13.7,14.8,16.0,17.3,18.8,20.6 
L,IMT_U,21,12.8,13.7,14.7,15.9,17.2,18.7,20.5 
L,IMT_U,22,12.7,13.6,14.7,15.8,17.2,18.7,20.4 
L,IMT_U,23,12.7,13.6,14.6,15.8,17.1,18.6,20.3 
L,IMT_U,24,12.7,13.6,14.6,15.7,17.0,18.5,20.3
L,IMT_U,25,12.9,13.8,14.8,16.0,17.3,18.9,20.6 
L,IMT_U,26,12.8,13.8,14.8,16.0,17.3,18.8,20.5 
L,IMT_U,27,12.7,13.7,14.7,15.9,17.2,18.7,20.4 
L,IMT_U,28,12.7,13.6,14.7,15.9,17.2,18.7,20.4 
L,IMT_U,29,12.7,13.6,14.7,15.8,17.1,18.6,20.3 
L,IMT_U,30,12.6,13.6,14.6,15.8,17.1,18.6,20.2 
L,IMT_U,31,12.6,13.5,14.6,15.8,17.1,18.5,20.2 
L,IMT_U,32,12.5,13.5,14.6,15.7,17.0,18.5,20.1 
L,IMT_U,33,12.5,13.5,14.5,15.7,17.0,18.5,20.1 
L,IMT_U,34,12.5,13.4,14.5,15.7,17.0,18.4,20.0 
L,IMT_U,35,12.4,13.4,14.5,15.6,16.9,18.4,20.0 
L,IMT_U,36,12.4,13.4,14.4,15.6,16.9,18.4,20.0 
L,IMT_U,37,12.4,13.3,14.4,15.6,16.9,18.3,19.9 
L,IMT_U,38,12.3,13.3,14.4,15.5,16.8,18.3,19.9 
L,IMT_U,39,12.3,13.3,14.3,15.5,16.8,18.3,19.9 
L,IMT_U,40,12.3,13.2,14.3,15.5,16.8,18.2,19.9 
L,IMT_U,41,12.2,13.2,14.3,15.5,16.8,18.2,19.9 
L,IMT_U,42,12.2,13.2,14.3,15.4,16.8,18.2,19.8 
L,IMT_U,43,12.2,13.2,14.2,15.4,16.7,18.2,19.8 
L,IMT_U,44,12.2,13.1,14.2,15.4,16.7,18.2,19.8 
L,IMT_U,45,12.1,13.1,14.2,15.4,16.7,18.2,19.8 
L,IMT_U,46,12.1,13.1,14.2,15.3,16.7,18.2,19.9 
L,IMT_U,47,12.1,13.1,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,48,12.1,13.0,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,49,12.1,13.0,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,50,12.1,13.0,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,51,12.1,13.0,14.1,15.3,16.6,18.2,19.9 
L,IMT_U,52,12.0,13.0,14.1,15.3,16.6,18.2,19.9 
L,IMT_U,53,12.0,13.0,14.1,15.3,16.6,18.2,20.0 
L,IMT_U,54,12.0,13.0,14.0,15.3,16.6,18.2,20.0
L,IMT_U,55,12.0,13.0,14.0,15.2,16.6,18.2,20.0 
L,IMT_U,56,12.0,12.9,14.0,15.2,16.6,18.2,20.1 
L,IMT_U,57,12.0,12.9,14.0,15.2,16.6,18.2,20.1 
L,IMT_U,58,12.0,12.9,14.0,15.2,16.6,18.3,20.2 
L,IMT_U,59,12.0,12.9,14.0,15.2,16.6,18.3,20.2 
L,IMT_U,60,12.0,12.9,14.0,15.2,16.6,18.3,20.3 

P,BB_U,0,2.0,2.4,2.8,3.2,3.7,4.2,4.8
P,BB_U,1,2.7,3.2,3.6,4.2,4.8,5.5,6.2 
P,BB_U,2,3.4,3.9,4.5,5.1,5.8,6.6,7.5 
P,BB_U,3,4.0,4.5,5.2,5.8,6.6,7.5,8.5 
P,BB_U,4,4.4,5.0,5.7,6.4,7.3,8.2,9.3 
P,BB_U,5,4.8,5.4,6.1,6.9,7.8,8.8,10.0 
P,BB_U,6,5.1,5.7,6.5,7.3,8.2,9.3,10.6 
P,BB_U,7,5.3,6.0,6.8,7.6,8.6,9.8,11.1 
P,BB_U,8,5.6,6.3,7.0,7.9,9.0,10.2,11.6 
P,BB_U,9,5.8,6.5,7.3,8.2,9.3,10.5,12.0 
P,BB_U,10,5.9,6.7,7.5,8.5,9.6,10.9,12.4 
P,BB_U,11,6.1,6.9,7.7,8.7,9.9,11.2,12.8 
P,BB_U,12,6.3,7.0,7.9,8.9,10.1,11.5,13.1 
P,BB_U,13,6.4,7.2,8.1,9.2,10.4,11.8,13.5 
P,BB_U,14,6.6,7.4,8.3,9.4,10.6,12.1,13.8 
P,BB_U,15,6.7,7.6,8.5,9.6,10.9,12.4,14.1 
P,BB_U,16,6.9,7.7,8.7,9.8,11.1,12.6,14.5 
P,BB_U,17,7.0,7.9,8.9,10.0,11.4,12.9,14.8 
P,BB_U,18,7.2,8.1,9.1,10.2,11.6,13.2,15.1 
P,BB_U,19,7.3,8.2,9.2,10.4,11.8,13.5,15.4 
P,BB_U,20,7.5,8.4,9.4,10.6,12.1,13.7,15.7 
P,BB_U,21,7.6,8.6,9.6,10.9,12.3,14.0,16.0 
P,BB_U,22,7.8,8.7,9.8,11.1,12.5,14.3,16.4 
P,BB_U,23,7.9,8.9,10.0,11.3,12.8,14.6,16.7 
P,BB_U,24,8.1,9.0,10.2,11.5,13.0,14.8,17.0 
P,BB_U,25,8.2,9.2,10.3,11.7,13.3,15.1,17.3 
P,BB_U,26,8.4,9.4,10.5,11.9,13.5,15.4,17.7 
P,BB_U,27,8.5,9.5,10.7,12.1,13.7,15.7,18.0 
P,BB_U,28,8.6,9.7,10.9,12.3,14.0,16.0,18.3 
P,BB_U,29,8.8,9.8,11.1,12.5,14.2,16.2,18.7 
P,BB_U,30,8.9,10.0,11.2,12.7,14.4,16.5,19.0 
P,BB_U,31,9.0,10.1,11.4,12.9,14.7,16.8,19.3 
P,BB_U,32,9.1,10.3,11.6,13.1,14.9,17.1,19.6 
P,BB_U,33,9.3,10.4,11.7,13.3,15.1,17.3,20.0 
P,BB_U,34,9.4,10.5,11.9,13.5,15.4,17.6,20.3 
P,BB_U,35,9.5,10.7,12.0,13.7,15.6,17.9,20.6 
P,BB_U,36,9.6,10.8,12.2,13.9,15.8,18.1,20.9 
P,BB_U,37,9.7,10.9,12.4,14.0,16.0,18.4,21.3 
P,BB_U,38,9.8,11.1,12.5,14.2,16.3,18.7,21.6 
P,BB_U,39,9.9,11.2,12.7,14.4,16.5,19.0,22.0 
P,BB_U,40,10.1,11.3,12.8,14.6,16.7,19.2,22.3 
P,BB_U,41,10.2,11.5,13.0,14.8,16.9,19.5,22.7 
P,BB_U,42,10.3,11.6,13.1,15.0,17.2,19.8,23.0 
P,BB_U,43,10.4,11.7,13.3,15.2,17.4,20.1,23.4 
P,BB_U,44,10.5,11.8,13.4,15.3,17.6,20.4,23.7 
P,BB_U,45,10.6,12.0,13.6,15.5,17.8,20.7,24.1 
P,BB_U,46,10.7,12.1,13.7,15.7,18.1,20.9,24.5 
P,BB_U,47,10.8,12.2,13.9,15.9,18.3,21.2,24.8 
P,BB_U,48,10.9,12.3,14.0,16.1,18.5,21.5,25.2 
P,BB_U,49,11.0,12.4,14.2,16.3,18.8,21.8,25.5 
P,BB_U,50,11.1,12.6,14.3,16.4,19.0,22.1,25.9 
P,BB_U,51,11.2,12.7,14.5,16.6,19.2,22.4,26.3 
P,BB_U,52,11.3,12.8,14.6,16.8,19.4,22.6,26.6
P,BB_U,53,11.4,12.9,14.8,17.0,19.7,22.9,27.0 
